merchant,description,amount,category
Metro,Metro ticket,1040,Transport
Myntra,Clothing order,508,Shopping
Spotify,Music subscription,2022,Entertainment
Netflix,Monthly subscription,3471,Entertainment
Dominos,Pizza order,178,Food
Rapido,Bike ride,969,Transport
BookMyShow,Movie ticket,1841,Entertainment
Flipkart,Online shopping,454,Shopping
Ajio,Fashion shopping,5000,Shopping
Dominos,Pizza order,1945,Food
Starbucks,Coffee purchase,4825,Food
Ajio,Fashion shopping,4764,Shopping
Metro,Metro ticket,4575,Transport
Ola,City travel,1950,Transport
Metro,Metro ticket,3349,Transport
Ola,City travel,3673,Transport
Metro,Metro ticket,2920,Transport
Swiggy,Lunch order,2337,Food
Myntra,Clothing order,2696,Shopping
Netflix,Monthly subscription,3981,Entertainment
Flipkart,Online shopping,3847,Shopping
Ajio,Fashion shopping,2783,Shopping
Spotify,Music subscription,1298,Entertainment
Ajio,Fashion shopping,4656,Shopping
Amazon,Electronics purchase,3452,Shopping
BookMyShow,Movie ticket,3648,Entertainment
Dominos,Pizza order,3879,Food
Metro,Metro ticket,213,Transport
BookMyShow,Movie ticket,3154,Entertainment
Netflix,Monthly subscription,4636,Entertainment
Spotify,Music subscription,3336,Entertainment
Spotify,Music subscription,873,Entertainment
KFC,Chicken meal,276,Food
BookMyShow,Movie ticket,3102,Entertainment
Flipkart,Online shopping,1214,Shopping
Uber,Airport ride,1698,Transport
Myntra,Clothing order,2267,Shopping
BookMyShow,Movie ticket,3187,Entertainment
Spotify,Music subscription,1130,Entertainment
Dominos,Pizza order,3211,Food
Myntra,Clothing order,2008,Shopping
Spotify,Music subscription,2310,Entertainment
Uber,Airport ride,1346,Transport
Rapido,Bike ride,4073,Transport
Uber,Airport ride,4249,Transport
Spotify,Music subscription,4598,Entertainment
Ola,City travel,4626,Transport
Starbucks,Coffee purchase,846,Food
Ajio,Fashion shopping,4486,Shopping
Dominos,Pizza order,232,Food
KFC,Chicken meal,4746,Food
Netflix,Monthly subscription,2508,Entertainment
Zomato,Food delivery,3628,Food
Amazon,Electronics purchase,1209,Shopping
Rapido,Bike ride,4996,Transport
Zomato,Food delivery,367,Food
Spotify,Music subscription,2582,Entertainment
Amazon,Electronics purchase,4443,Shopping
Spotify,Music subscription,1227,Entertainment
Ajio,Fashion shopping,1857,Shopping
Flipkart,Online shopping,4545,Shopping
Rapido,Bike ride,1297,Transport
Swiggy,Lunch order,2842,Food
Zomato,Food delivery,2566,Food
Metro,Metro ticket,3971,Transport
Dominos,Pizza order,1952,Food
Dominos,Pizza order,4958,Food
